food_name,energy,protein,fat,carbohydrate
（だいこん類）　漬物　みそ漬,218.0,2.1,0.3,11.4
（だいこん類）　漬物　福神漬,581.0,2.7,0.1,33.3
（たいさい類）　つまみな　葉　生,80.0,1.9,0.3,3.6
（たいさい類）　たいさい　葉　生,63.0,0.9,0.1,3.5
（たいさい類）　たいさい　塩漬,80.0,1.6,0.1,4.3
たかな　葉　生,87.0,1.8,0.2,4.2
たかな　たかな漬,123.0,1.9,0.6,6.2
たけのこ　若茎　生,114.0,3.6,0.2,4.3
たけのこ　若茎　ゆで,129.0,3.5,0.2,5.5
たけのこ　水煮缶詰,91.0,2.7,0.2,4.0
たけのこ　めんま　塩蔵　塩抜き,62.0,1.0,0.5,3.6
（たまねぎ類）　たまねぎ　りん茎　生,139.0,1.0,0.1,8.4
（たまねぎ類）　たまねぎ　りん茎　水さらし,103.0,0.6,0.1,6.1
（たまねぎ類）　たまねぎ　りん茎　ゆで,125.0,0.8,0.1,7.3
（たまねぎ類）　たまねぎ　りん茎　油いため,418.0,1.4,5.9,12.0
（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,876.0,3.2,6.8,34.1
（たまねぎ類）　赤たまねぎ　りん茎　生,145.0,0.9,0.1,9.0
（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,140.0,1.8,0.4,7.6
たらのめ　若芽　生,114.0,4.2,0.2,4.3
たらのめ　若芽　ゆで,113.0,4.0,0.2,4.1
チコリ　若芽　生,73.0,1.0,,3.9
ちぢみゆきな　葉　生,147.0,3.6,0.6,5.7
ちぢみゆきな　葉　ゆで,141.0,3.8,0.7,5.2
チンゲンサイ　葉　生,36.0,0.6,0.1,2.0
チンゲンサイ　葉　ゆで,45.0,0.9,0.1,2.4
チンゲンサイ　葉　油いため,149.0,0.8,3.2,2.2
つくし　胞子茎　生,128.0,3.5,0.1,8.1
つくし　胞子茎　ゆで,115.0,3.4,0.1,6.7
つるな　茎葉　生,61.0,1.8,0.1,2.8
つるにんじん　根　生,225.0,1.0,0.7,19.8
つるむらさき　茎葉　生,44.0,0.7,0.2,2.6
つるむらさき　茎葉　ゆで,49.0,0.9,0.2,3.2
つわぶき　葉柄　生,80.0,0.4,0.0,5.6
つわぶき　葉柄　ゆで,59.0,0.3,0.0,4.4
とうがらし　葉･果実　生,131.0,3.4,0.1,7.2
とうがらし　葉･果実　油いため,333.0,4.0,4.9,8.5
とうがらし　果実　生,301.0,3.9,3.4,16.3
とうがらし　果実　乾,1117.0,14.7,12.0,58.4
とうがん　果実　生,65.0,0.5,0.1,3.8
とうがん　果実　ゆで,63.0,0.6,0.1,3.7
（とうもろこし類）　スイートコーン　未熟種子　生,375.0,3.6,1.7,16.8
（とうもろこし類）　スイートコーン　未熟種子　ゆで,402.0,3.5,1.7,18.6
（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,436.0,4.2,2.2,19.1
（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,404.0,3.5,1.5,18.7
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,386.0,2.9,1.3,19.8
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,387.0,2.8,1.5,18.7
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,523.0,2.9,5.8,18.9
（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,347.0,1.7,0.5,18.6
（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,330.0,2.3,0.5,17.8
（とうもろこし類）　ヤングコーン　幼雌穂　生,124.0,2.3,0.2,6.0
（トマト類）　赤色トマト　果実　生,83.0,0.7,0.1,4.7
（トマト類）　赤色ミニトマト　果実　生,127.0,1.1,0.1,7.2
（トマト類）　黄色トマト　果実　生,75.0,1.1,0.4,3.2
（トマト類）　ドライトマト,1222.0,14.2,2.1,67.3
（トマト類）　加工品　ホール　食塩無添加,88.0,0.9,0.2,4.4
（トマト類）　加工品　トマトジュース　食塩添加,66.0,0.7,0.1,4.0
（トマト類）　加工品　トマトジュース　食塩無添加,77.0,0.7,0.1,4.0
（トマト類）　加工品　ミックスジュース　食塩添加,77.0,0.6,0.0,4.3
（トマト類）　加工品　ミックスジュース　食塩無添加,77.0,0.6,0.0,4.3
トレビス　葉　生,72.0,1.1,0.2,3.9
とんぶり　ゆで,371.0,6.1,3.5,12.9
ながさきはくさい　葉　生,49.0,1.3,0.1,2.6
ながさきはくさい　葉　ゆで,76.0,2.2,0.1,3.4
（なす類）　なす　果実　生,77.0,1.1,0.1,5.1
（なす類）　なす　果実　ゆで,69.0,1.0,0.1,4.5
（なす類）　なす　果実　油いため,300.0,1.5,5.8,6.3
（なす類）　なす　果実　天ぷら,683.0,1.6,14.0,12.0
（なす類）　べいなす　果実　生,83.0,1.1,0.1,5.3
（なす類）　べいなす　果実　素揚げ,731.0,1.0,17.0,6.7
（なす類）　漬物　塩漬,90.0,1.4,0.1,5.2
（なす類）　漬物　ぬかみそ漬,112.0,1.7,0.1,6.1
（なす類）　漬物　こうじ漬,369.0,5.5,0.1,18.2
（なす類）　漬物　からし漬,536.0,2.6,0.2,30.7
（なす類）　漬物　しば漬,111.0,1.4,0.2,7.0
なずな　葉　生,147.0,4.3,0.1,7.0
（なばな類）　和種なばな　花らい・茎　生,141.0,4.4,0.2,5.8
（なばな類）　和種なばな　花らい・茎　ゆで,117.0,4.7,0.1,4.3
（なばな類）　洋種なばな　茎葉　生,149.0,4.1,0.4,6.0
（なばな類）　洋種なばな　茎葉　ゆで,125.0,3.6,0.4,5.3
にがうり　果実　生,63.0,1.0,0.1,3.9
にがうり　果実　油いため,193.0,1.2,3.3,4.6
（にら類）　にら　葉　生,75.0,1.7,0.3,4.0
（にら類）　にら　葉　ゆで,112.0,2.6,0.5,5.7
（にら類）　にら　葉　油いため,283.0,1.9,5.7,4.9
（にら類）　花にら　花茎・花らい　生,113.0,1.9,0.2,5.9
（にら類）　黄にら　葉　生,76.0,2.1,0.1,3.3
（にんじん類）　葉にんじん　葉　生,65.0,1.1,0.2,3.7
（にんじん類）　にんじん　根　皮つき　生,149.0,0.7,0.2,9.3
（にんじん類）　にんじん　根　皮つき　ゆで,120.0,0.6,0.2,8.4
（にんじん類）　にんじん　根　皮なし　生,134.0,0.7,0.2,8.8
（にんじん類）　にんじん　根　皮なし　ゆで,119.0,0.7,0.1,8.5
（にんじん類）　にんじん　根　皮なし　油いため,429.0,1.1,6.4,12.4
（にんじん類）　にんじん　根　皮なし　素揚げ,365.0,1.0,3.5,13.9
（にんじん類）　にんじん　根　皮なし　カット　常法洗浄,115.0,0.5,0.2,7.3
（にんじん類）　にんじん　根　皮なし　カット　次亜塩素酸洗浄,112.0,0.6,0.2,7.2
（にんじん類）　にんじん　根　皮　生,108.0,0.7,0.2,7.3
（にんじん類）　にんじん　根　冷凍,126.0,0.8,0.2,8.2
（にんじん類）　にんじん　根　冷凍　ゆで,101.0,0.7,0.2,7.0
（にんじん類）　にんじん　根　冷凍　油いため,271.0,0.9,4.0,9.3
（にんじん類）　にんじん　グラッセ,224.0,0.7,1.4,12.7
（にんじん類）　にんじん　ジュース　缶詰,125.0,0.6,0.1,6.7
（にんじん類）　きんとき　根　皮つき　生,163.0,1.8,0.2,9.6
（にんじん類）　きんとき　根　皮つき　ゆで,155.0,1.9,0.2,9.2
（にんじん類）　きんとき　根　皮なし　生,170.0,1.8,0.3,9.7
（にんじん類）　きんとき　根　皮なし　ゆで,168.0,1.9,0.4,9.6
（にんじん類）　島にんじん　根　皮なし　生,146.0,1.1,0.4,8.8
（にんじん類）　ミニキャロット　根　生,109.0,0.7,0.2,7.5
（にんにく類）　にんにく　りん茎　生,544.0,6.4,0.9,27.5
（にんにく類）　にんにく　りん茎　油いため,803.0,8.2,5.9,30.6
（にんにく類）　茎にんにく　花茎　生,186.0,1.9,0.3,10.6
（にんにく類）　茎にんにく　花茎　ゆで,182.0,1.7,0.2,10.7
（ねぎ類）　根深ねぎ　葉　軟白　生,146.0,1.4,0.1,8.3
（ねぎ類）　根深ねぎ　葉　軟白　ゆで,118.0,1.3,0.1,6.8
（ねぎ類）　根深ねぎ　葉　軟白　油いため,321.0,1.6,4.4,9.5
（ねぎ類）　葉ねぎ　葉　生,121.0,1.9,0.3,6.5
（ねぎ類）　葉ねぎ　葉　油いため,321.0,2.1,5.2,7.9
（ねぎ類）　九条ねぎ　葉　生,135.0,1.7,0.3,7.3
（ねぎ類）　こねぎ　葉　生,111.0,2.0,0.3,5.4
（ねぎ類）　めねぎ　葉　生,62.0,1.5,0.3,2.4
のざわな　葉　生,60.0,0.9,0.1,3.5
のざわな　漬物　塩漬,70.0,1.2,0.1,4.1
のざわな　漬物　調味漬,93.0,1.7,0.0,5.4
のびる　りん茎葉　生,262.0,3.2,0.2,15.5
はくさい　結球葉　生,54.0,0.8,0.1,3.2
はくさい　結球葉　ゆで,54.0,0.9,0.1,2.9
はくさい　漬物　塩漬,70.0,1.5,0.1,3.3
はくさい　漬物　キムチ,112.0,2.3,0.1,5.4
パクチョイ　葉　生,63.0,1.6,0.2,2.7
バジル　葉　生,86.0,2.0,0.6,4.0
パセリ　葉　生,142.0,4.0,0.7,7.8
はつかだいこん　根　生,56.0,0.8,0.1,3.1
はなっこりー　生,144.0,3.6,0.5,5.4
はやとうり　果実　白色種　生,86.0,0.6,0.1,4.9
はやとうり　果実　白色種　塩漬,71.0,0.6,,4.4
はやとうり　果実　緑色種　生,86.0,0.6,0.1,4.9
ビーツ　根　生,159.0,1.6,0.1,9.3
ビーツ　根　ゆで,176.0,1.5,0.1,10.2
（ピーマン類）　青ピーマン　果実　生,85.0,0.9,0.2,5.1
（ピーマン類）　青ピーマン　果実　油いため,221.0,0.9,4.3,5.4
（ピーマン類）　赤ピーマン　果実　生,117.0,1.0,0.2,7.2
（ピーマン類）　赤ピーマン　果実　油いため,286.0,1.0,4.3,7.6
（ピーマン類）　オレンジピーマン　果実　生,81.0,0.9,0.3,4.2
（ピーマン類）　オレンジピーマン　果実　油いため,337.0,1.1,5.1,7.6
（ピーマン類）　黄ピーマン　果実　生,119.0,0.8,0.2,6.6
（ピーマン類）　黄ピーマン　果実　油いため,252.0,0.8,4.3,6.9
（ピーマン類）　トマピー　果実　生,138.0,1.0,0.2,7.5
ひのな　根・茎葉　生,70.0,1.0,,4.7
ひのな　根・茎葉　甘酢漬,294.0,1.4,0.5,17.3
ひろしまな　葉　生,80.0,1.5,0.2,4.2
ひろしまな　塩漬,62.0,1.2,0.2,3.3
（ふき類）　ふき　葉柄　生,44.0,0.3,0.0,3.0
（ふき類）　ふき　葉柄　ゆで,27.0,0.3,0.0,1.9
（ふき類）　ふきのとう　花序　生,159.0,2.5,0.1,10.0
（ふき類）　ふきのとう　花序　ゆで,127.0,2.5,0.1,7.0
ふじまめ　若ざや　生,132.0,2.5,0.1,7.4
ふだんそう　葉　生,70.0,2.0,0.1,3.7
ふだんそう　葉　ゆで,108.0,2.8,0.1,5.4
ブロッコリー　花序　生,156.0,5.4,0.6,6.6
ブロッコリー　花序　ゆで,126.0,3.9,0.4,5.2
ブロッコリー　花序　電子レンジ調理,239.0,5.7,0.7,7.0
ブロッコリー　花序　焼き,353.0,9.9,1.2,8.4
ブロッコリー　花序　油いため,454.0,6.9,6.3,6.1
ブロッコリー　芽ばえ　生,75.0,1.9,0.6,2.6
へちま　果実　生,72.0,0.8,0.1,3.8
へちま　果実　ゆで,80.0,1.6,0.1,3.7
ほうれんそう　葉　通年平均　生,75.0,2.2,0.4,3.1
ほうれんそう　葉　通年平均　ゆで,94.0,2.6,0.5,4.0
ほうれんそう　葉　通年平均　油いため,375.0,3.8,8.1,4.4
ほうれんそう　葉　夏採り　生,75.0,2.2,0.4,3.1
ほうれんそう　葉　夏採り　ゆで,94.0,2.6,0.5,4.0
ほうれんそう　葉　冬採り　生,75.0,2.2,0.4,3.1
ほうれんそう　葉　冬採り　ゆで,94.0,2.6,0.5,4.0
ほうれんそう　葉　冷凍,90.0,2.9,0.3,3.4
ほうれんそう　葉　冷凍　ゆで,107.0,3.7,0.5,3.8
ほうれんそう　葉　冷凍　油いため,278.0,4.0,4.5,5.4
ホースラディシュ　根茎　生,290.0,3.1,0.3,17.7
まこも　茎　生,82.0,1.3,0.2,4.4
みずかけな　葉　生,107.0,2.9,0.1,4.7
みずかけな　塩漬,144.0,4.9,,5.7
みずな　葉　生,96.0,2.2,0.1,4.8
みずな　葉　ゆで,85.0,2.0,0.1,4.7
みずな　塩漬,107.0,2.0,0.1,5.9
（みつば類）　切りみつば　葉　生,66.0,1.0,0.1,4.0
（みつば類）　切りみつば　葉　ゆで,51.0,0.9,0.1,3.3
（みつば類）　根みつば　葉　生,80.0,1.9,0.1,4.1
（みつば類）　根みつば　葉　ゆで,79.0,2.3,0.1,3.9
（みつば類）　糸みつば　葉　生,48.0,0.9,0.1,2.9
（みつば類）　糸みつば　葉　ゆで,60.0,1.1,0.0,4.0
みぶな　葉　生,58.0,1.1,0.3,2.9
（みょうが類）　みょうが　花穂　生,44.0,0.9,0.1,2.6
（みょうが類）　みょうがたけ　茎葉　生,26.0,0.4,0.1,1.5
むかご　肉芽　生,367.0,2.9,0.2,20.6
めキャベツ　結球葉　生,219.0,5.7,0.1,9.9
めキャベツ　結球葉　ゆで,213.0,5.3,0.1,9.8
めたで　芽ばえ　生,162.0,3.0,0.5,8.8
（もやし類）　アルファルファもやし　生,47.0,1.6,0.1,2.0
（もやし類）　だいずもやし　生,119.0,3.6,1.4,2.5
（もやし類）　だいずもやし　ゆで,112.0,2.9,1.6,2.2
（もやし類）　だいずもやし　油いため,259.0,3.8,4.5,4.1
（もやし類）　ブラックマッペもやし　生,73.0,2.2,,2.8
（もやし類）　ブラックマッペもやし　ゆで,53.0,1.3,,2.7
（もやし類）　ブラックマッペもやし　油いため,173.0,2.3,0.9,5.8
（もやし類）　りょくとうもやし　生,65.0,1.8,0.1,2.4
（もやし類）　りょくとうもやし　ゆで,49.0,1.6,0.0,2.3
（もやし類）　りょくとうもやし　油いため,169.0,2.0,2.8,4.0
モロヘイヤ　茎葉　生,151.0,4.8,0.5,6.3
モロヘイヤ　茎葉　ゆで,100.0,3.0,0.4,4.0
やぶまめ　生,917.0,15.5,6.5,29.5
やまごぼう　みそ漬,276.0,4.1,0.1,15.6
ゆりね　りん茎　生,501.0,3.8,0.1,28.3
ゆりね　りん茎　ゆで,495.0,3.4,0.1,28.7
ようさい　茎葉　生,72.0,2.2,0.1,3.1
ようさい　茎葉　ゆで,76.0,2.2,0.1,4.1
よめな　葉　生,165.0,3.4,0.2,10.0
よもぎ　葉　生,177.0,5.2,0.3,8.7
よもぎ　葉　ゆで,155.0,4.8,0.1,8.2
らっかせい　未熟豆　生,1268.0,12.0,24.2,12.4
らっかせい　未熟豆　ゆで,1237.0,11.9,23.5,12.3
（らっきょう類）　らっきょう　りん茎　生,342.0,1.4,0.2,29.3
（らっきょう類）　らっきょう　甘酢漬,496.0,0.4,0.3,29.4
（らっきょう類）　エシャレット　りん茎　生,245.0,2.3,0.2,17.8
リーキ　りん茎葉　生,125.0,1.6,0.1,6.9
リーキ　りん茎葉　ゆで,117.0,1.3,0.1,6.8
ルッコラ　葉　生,71.0,1.9,0.4,3.1
ルバーブ　葉柄　生,95.0,0.7,0.1,6.0
ルバーブ　葉柄　ゆで,58.0,0.5,0.1,4.6
（レタス類）　レタス　土耕栽培　結球葉　生,46.0,0.6,0.1,2.8
（レタス類）　レタス　水耕栽培　結球葉　生,54.0,0.8,0.2,2.9
（レタス類）　サラダな　葉　生,43.0,1.0,0.2,2.7
（レタス類）　リーフレタス　葉　生,66.0,1.4,0.1,3.3
（レタス類）　サニーレタス　葉　生,63.0,1.2,0.2,3.2
（レタス類）　サンチュ　葉　生,56.0,1.2,0.4,2.5
（レタス類）　コスレタス　葉　生,66.0,1.2,0.2,3.4
れんこん　根茎　生,280.0,1.9,0.1,15.5
れんこん　根茎　ゆで,278.0,1.3,0.1,16.1
れんこん　甘酢れんこん,281.0,0.6,0.2,16.5
わけぎ　葉　生,128.0,1.6,0.0,7.4
わけぎ　葉　ゆで,122.0,1.9,0.0,6.9
わさび　根茎　生,376.0,5.6,0.2,18.4
わさび　わさび漬,591.0,7.1,0.5,28.0
わらび　生わらび　生,80.0,2.4,0.1,4.0
わらび　生わらび　ゆで,53.0,1.5,0.1,3.0
わらび　干しわらび　乾,888.0,20.0,0.7,61.4
（その他）　ミックスベジタブル　冷凍,282.0,3.0,0.7,15.1
（その他）　ミックスベジタブル　冷凍　ゆで,273.0,3.1,0.8,14.6
（その他）　ミックスベジタブル　冷凍　油いため,450.0,3.3,4.9,15.7
（その他）　野菜ミックスジュース　通常タイプ,89.0,0.8,0.1,4.7
（その他）　野菜ミックスジュース　濃縮タイプ,152.0,1.0,0.3,7.8
あけび　果肉　生,376.0,0.5,0.1,22.0
あけび　果皮　生,135.0,0.3,0.3,8.6
アサイー　冷凍　無糖,255.0,0.9,5.3,5.0
アセロラ　酸味種　生,150.0,0.7,0.1,9.0
アセロラ　甘味種　生,152.0,0.7,0.1,9.0
アセロラ　果実飲料　10%果汁入り飲料,178.0,0.1,0.0,10.5
アテモヤ　生,343.0,1.8,0.4,19.4
アボカド　生,728.0,2.1,17.5,7.9
あんず　生,155.0,1.0,0.3,8.5
あんず　乾,1253.0,9.2,0.4,70.4
あんず　缶詰,335.0,0.5,0.4,18.9
あんず　ジャム　高糖度,1076.0,0.3,0.1,64.9
あんず　ジャム　低糖度,858.0,0.4,0.1,50.5
いちご　生,130.0,0.9,0.1,8.5
いちご　ジャム　高糖度,1064.0,0.4,0.1,63.3
いちご　ジャム　低糖度,825.0,0.5,0.1,48.4
いちご　乾,1398.0,0.5,0.2,82.8
いちじく　生,239.0,0.6,0.1,14.3
いちじく　乾,1152.0,3.0,1.1,75.3
いちじく　缶詰,331.0,0.5,0.1,19.4
うめ　生,139.0,0.7,0.5,7.9
うめ　梅漬　塩漬,114.0,0.7,0.4,6.7
うめ　梅漬　調味漬,189.0,1.5,0.5,10.5
うめ　梅干し　塩漬,118.0,0.9,0.7,8.6
うめ　梅干し　調味漬,381.0,1.5,0.6,21.1
うめ　梅びしお,834.0,0.7,0.5,48.1
うめ　果実飲料　20%果汁入り飲料,208.0,,,12.3
オリーブ　塩漬　グリーンオリーブ,611.0,1.0,15.0,4.5
オリーブ　塩漬　ブラックオリーブ,498.0,0.8,12.3,3.4
オリーブ　塩漬　スタッフドオリーブ,581.0,0.8,14.3,4.2
かき　甘がき　生,268.0,0.4,0.2,15.9
かき　渋抜きがき　生,250.0,0.5,0.1,16.9
かき　干しがき,1156.0,1.5,1.7,71.3
かりん　生,241.0,0.4,0.1,18.3
（かんきつ類）　いよかん　砂じょう　生,210.0,0.9,0.1,11.8
（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,207.0,0.5,0.1,11.9
（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,209.0,0.7,0.1,12.0
（かんきつ類）　うんしゅうみかん　砂じょう　早生　生,200.0,0.5,0.1,11.3
（かんきつ類）　うんしゅうみかん　砂じょう　普通　生,206.0,0.7,0.1,11.5
（かんきつ類）　うんしゅうみかん　果実飲料　ストレートジュース,191.0,0.5,0.1,10.6
（かんきつ類）　うんしゅうみかん　果実飲料　濃縮還元ジュース,179.0,0.5,0.1,9.9
（かんきつ類）　うんしゅうみかん　果実飲料　果粒入りジュース,224.0,0.2,,13.0
（かんきつ類）　うんしゅうみかん　果実飲料　50%果汁入り飲料,253.0,0.2,,14.7
（かんきつ類）　うんしゅうみかん　果実飲料　20%果汁入り飲料,213.0,0.1,,12.4
（かんきつ類）　うんしゅうみかん　缶詰　果肉,267.0,0.5,0.1,15.3
（かんきつ類）　うんしゅうみかん　缶詰　液汁,268.0,0.3,0.1,15.3
（かんきつ類）　オレンジ　ネーブル　砂じょう　生,204.0,0.9,0.1,11.8
（かんきつ類）　オレンジ　バレンシア　米国産　砂じょう　生,179.0,1.0,0.1,9.8
（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース,191.0,0.8,,11.0
（かんきつ類）　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,195.0,0.7,0.1,10.7
（かんきつ類）　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,195.0,0.4,0.2,10.8
（かんきつ類）　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,173.0,0.2,,10.0
（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度,992.0,0.2,0.1,63.2
（かんきつ類）　オレンジ　バレンシア　マーマレード　低糖度,808.0,0.3,0.1,47.7
（かんきつ類）　オレンジ　福原オレンジ　砂じょう　生,180.0,1.0,0.1,9.8
（かんきつ類）　オロブランコ　砂じょう　生,181.0,0.8,0.1,10.1
（かんきつ類）　かぼす　果汁　生,154.0,0.4,0.1,8.5
（かんきつ類）　かわちばんかん　砂じょう　生,162.0,0.7,0.2,8.8
（かんきつ類）　きよみ　砂じょう　生,190.0,0.8,0.2,10.3
（かんきつ類）　きんかん　全果　生,283.0,0.5,0.7,17.5
（かんきつ類）　グレープフルーツ　白肉種　砂じょう　生,168.0,0.9,0.1,9.6
（かんきつ類）　グレープフルーツ　紅肉種　砂じょう　生,168.0,0.9,0.1,9.6
（かんきつ類）　グレープフルーツ　果実飲料　ストレートジュース,187.0,0.6,0.1,10.3
（かんきつ類）　グレープフルーツ　果実飲料　濃縮還元ジュース,163.0,0.7,0.1,8.8
（かんきつ類）　グレープフルーツ　果実飲料　50%果汁入り飲料,193.0,0.3,,11.1
（かんきつ類）　グレープフルーツ　果実飲料　20%果汁入り飲料,167.0,0.1,,9.7
（かんきつ類）　グレープフルーツ　缶詰,257.0,0.5,,17.1
（かんきつ類）　さんぼうかん　砂じょう　生,200.0,0.7,0.3,10.9
（かんきつ類）　シークヮーサー　果汁　生,149.0,0.8,0.1,7.9
（かんきつ類）　シークヮーサー　果実飲料　10%果汁入り飲料,202.0,0.1,,11.8
（かんきつ類）　しらぬひ　砂じょう　生,236.0,0.8,0.2,12.9
（かんきつ類）　すだち　果皮　生,230.0,1.8,0.3,16.4
（かんきつ類）　すだち　果汁　生,124.0,0.5,0.1,6.6
（かんきつ類）　せとか　砂じょう　生,214.0,0.8,0.2,11.7
（かんきつ類）　セミノール　砂じょう　生,226.0,1.1,0.1,12.4
（かんきつ類）　だいだい　果汁　生,149.0,0.3,0.2,8.0
（かんきつ類）　なつみかん　砂じょう　生,178.0,0.9,0.1,10.0
（かんきつ類）　なつみかん　缶詰,338.0,0.5,0.1,19.4
（かんきつ類）　はっさく　砂じょう　生,199.0,0.8,0.1,11.5
（かんきつ類）　はるみ　砂じょう　生,220.0,0.9,0.2,12.1
（かんきつ類）　ひゅうがなつ　じょうのう及びアルベド　生,194.0,0.6,0.1,11.7
（かんきつ類）　ひゅうがなつ　砂じょう　生,149.0,0.6,0.1,8.3
（かんきつ類）　ぶんたん　砂じょう　生,174.0,0.7,0.1,9.8
（かんきつ類）　ぶんたん　ざぼん漬,1436.0,0.2,0.1,85.5
（かんきつ類）　ぽんかん　砂じょう　生,178.0,0.9,0.1,9.9
（かんきつ類）　ゆず　果皮　生,210.0,1.2,0.5,14.2
（かんきつ類）　ゆず　果汁　生,128.0,0.5,0.1,7.0
（かんきつ類）　ライム　果汁　生,167.0,0.4,0.1,9.3
（かんきつ類）　レモン　全果　生,178.0,0.9,0.7,12.5
（かんきつ類）　レモン　果汁　生,101.0,0.4,0.2,8.6
キウイフルーツ　緑肉種　生,217.0,1.0,0.2,13.4
キウイフルーツ　黄肉種　生,267.0,1.1,0.2,14.9
きはだ　実　乾,1593.0,7.3,9.8,65.1
キワノ　生,171.0,1.5,0.9,8.0
グァバ　赤肉種　生,136.0,0.6,0.1,9.9
グァバ　白肉種　生,136.0,0.6,0.1,9.9
グァバ　果実飲料　20%果汁入り飲料　（ネクター）,207.0,0.1,0.1,12.3
グァバ　果実飲料　10%果汁入り飲料,213.0,0.1,0.1,12.3
くこ　実　乾,1640.0,12.3,4.1,75.3
ぐみ　生,304.0,1.3,0.2,17.2
ココナッツ　ココナッツウォーター,92.0,0.2,0.1,5.0
ココナッツ　ココナッツミルク,649.0,1.9,16.0,2.8
ココナッツ　ナタデココ,341.0,0.0,,20.2
さくらんぼ　国産　生,271.0,1.0,0.2,15.2
さくらんぼ　米国産　生,273.0,1.2,0.1,17.1
さくらんぼ　米国産　缶詰,298.0,0.6,0.1,17.6
ざくろ　生,267.0,0.2,,15.5
すいか　赤肉種　生,172.0,0.6,0.1,9.5
すいか　黄肉種　生,172.0,0.6,0.1,9.5
（すぐり類）　赤すぐり　冷凍,182.0,0.8,0.3,12.2
（すぐり類）　カシス　冷凍,257.0,1.6,1.6,13.4
（すぐり類）　グーズベリー　生,215.0,1.0,0.1,13.2
スターフルーツ　生,126.0,0.7,0.1,7.5
（すもも類）　にほんすもも　生,193.0,0.6,1.0,9.4
（すもも類）　プルーン　生,207.0,0.7,0.1,12.6
（すもも類）　プルーン　乾,894.0,2.4,0.2,62.3
チェリモヤ　生,348.0,1.3,0.3,19.8
ドラゴンフルーツ　生,218.0,1.4,0.3,11.8
ドリアン　生,592.0,2.3,3.3,27.1
（なし類）　日本なし　生,161.0,0.3,0.1,11.3
（なし類）　日本なし　缶詰,323.0,0.1,0.1,19.1
（なし類）　中国なし　生,209.0,0.2,0.1,12.7
（なし類）　西洋なし　生,203.0,0.3,0.1,14.4
（なし類）　西洋なし　缶詰,333.0,0.2,0.1,20.7
なつめ　乾,1242.0,3.9,2.0,71.4
なつめやし　乾,1191.0,2.2,0.2,71.3
パインアップル　生,231.0,0.6,0.1,13.7
パインアップル　焼き,313.0,0.9,0.2,20.1
パインアップル　果実飲料　ストレートジュース,195.0,0.3,0.1,11.0
パインアップル　果実飲料　濃縮還元ジュース,193.0,0.1,0.1,11.1
パインアップル　果実飲料　50%果汁入り飲料,214.0,0.3,0.1,12.1
パインアップル　果実飲料　10%果汁入り飲料,211.0,,,12.4
パインアップル　缶詰,326.0,0.4,0.1,20.3
パインアップル　砂糖漬,1490.0,0.5,0.2,86.8
ハスカップ　生,233.0,0.7,0.6,12.8
パッションフルーツ　果汁　生,285.0,0.8,0.4,16.2
バナナ　生,392.0,1.1,0.2,22.5
バナナ　乾,1330.0,3.8,0.4,78.5
パパイア　完熟　生,141.0,0.5,0.2,9.5
パパイア　未熟　生,149.0,1.3,0.1,9.4
びわ　生,174.0,0.3,0.1,10.6
びわ　缶詰,339.0,0.3,0.1,19.8
ぶどう　皮なし　生,247.0,0.4,0.1,15.7
ぶどう　皮つき　生,296.0,0.6,0.2,16.9
ぶどう　皮つき　シャインマスカット　生,260.0,0.7,0.2,16.1
ぶどう　干しぶどう,1374.0,2.7,0.2,80.3
ぶどう　果実飲料　ストレートジュース,231.0,0.3,0.2,14.3
ぶどう　果実飲料　濃縮還元ジュース,197.0,0.3,0.3,12.0
ぶどう　果実飲料　70%果汁入り飲料,222.0,0.2,,12.9
ぶどう　果実飲料　10%果汁入り飲料,223.0,,,13.1
ぶどう　缶詰,354.0,0.4,0.1,20.4
ぶどう　ジャム,803.0,0.5,0.1,47.5
ブルーベリー　生,201.0,0.5,0.1,12.9
ブルーベリー　ジャム,738.0,0.7,0.3,43.8
ブルーベリー　乾,1181.0,2.7,1.9,72.5
ホワイトサポテ　生,310.0,1.5,0.1,18.9
まくわうり　黄肉種　生,142.0,0.8,0.1,7.8
まくわうり　白肉種　生,142.0,0.8,0.1,7.8
マルメロ　生,201.0,0.3,0.1,15.1
マンゴー　生,289.0,0.6,0.1,16.9
マンゴー　ドライマンゴー,1436.0,3.1,0.7,84.9
マンゴスチン　生,303.0,0.6,0.2,17.5
